Project Name,FAST-pw,,FAST-all,,ART-D,,ART-F,,OGA,
,Time,APFD,Time,APFD,Time,APFD,Time,APFD,Time,APFD
S1 LastCalc-0.1_(32 TS),0.1282,0.6604,0.1245,0.6203,0.2310,0.6614,0.2054,0.7322,0.0012 ✔,0.8013 ✔
S2 lanterna (34 TS),0.0097,0.7158,0.0093,0.7155,0.0046,0.7919,0.0136,0.7385,0.0006 ✔,0.8553 ✔
S3 gdx-artemis-master (35 TS),0.0433,0.6432,0.0434,0.7052,0.0417,0.7367,0.1050,0.6677,0.0009 ✔,0.8870 ✔
S4 gson-fire (36 TS),0.0129,0.7057,0.0122,0.6828,0.0089,0.7355,0.0265,0.7853,0.0006 ✔,0.8390 ✔
S5 restcountries (40 TS),0.0027,0.6333,0.0022,0.6136,0.0020,0.7264,0.0065,0.6500,0.0005 ✔,0.7939 ✔
S6 redline-smalltalk-master (43 TS),0.0359,0.2994,0.0362,0.9358,0.0217,0.8625,0.0250,0.9496,0.0007 ✔,0.9860 ✔
S7 java-uuid-generator (45 TS),0.0062,0.6563,0.0055,0.6972,0.0043,0.7567,0.0148,0.7502,0.0006 ✔,0.9059 ✔
S8 gson-fire-new (47 TS),0.0089,0.7277,0.0081,0.6428,0.0098,0.7786,0.0247,0.7488,0.0006 ✔,0.8861 ✔
S9 low-gc-membuffers (51 TS),0.0414,0.7190,0.0405,0.7623,0.0947,0.8408,0.1875,0.7570,0.0017 ✔,0.9028 ✔
S10 DiskLruCache (61 TS),0.0268,0.8367,0.0256,0.7581,0.0310,0.8088,0.1072,0.8924,0.0011 ✔,0.9053 ✔
S11 JActor (65 TS),0.0524,0.7769,0.0505,0.7313,0.0777,0.7937,0.2758,0.7863,0.0019 ✔,0.8635 ✔
S12 nv-websocket-client (73 TS),0.0094,0.4284,0.0081,0.6394,0.0088,0.8469,0.0232,0.8333,0.0009 ✔,0.9615 ✔
S13 jackson-datatype-guava ( 73 TS),0.1199,0.6848,0.1171,0.6875,0.2819,0.7580,0.7538,0.7025,0.0019 ✔,0.8767 ✔
S14 jackson-datatype-guava-new (80 TS),0.0176,0.6367,0.0162,0.6080,0.0339,0.7893,0.1011,0.7083,0.0012 ✔,0.8866 ✔
S15 java-apns (87 TS),0.0218,0.7807,0.0200,0.7039,0.0724,0.7245,0.0850,0.7571,0.0012 ✔,0.8527 ✔
S16 ews-java-api (90 TS),0.0047,0.1711,0.0022,0.2500,0.0050,0.7164,0.0143,0.5742,0.0012 ✔,0.8523 ✔
S17 scribe-java (99 TS),0.0166,0.6545,0.0135,0.6756,0.0503,0.7058,0.0721,0.7791,0.0012 ✔,0.8582 ✔
S18 jasmine-maven-plugin (102 TS),0.0141,0.6609,0.0108,0.7144,0.0398,0.6499,0.0831,0.7099,0.0012 ✔,0.8101 ✔
