,FAST-pw,FAST-pw,FAST-all,FAST-all,ART-D,ART-D,ART-F,ART-F,OGA,OGA
Project,NAPFD,PFD@25%,NAPFD,PFD@25%,NAPFD,PFD@25%,NAPFD,PFD@25%,NAPFD,PFD@25%
S1 LastCalc0.1_v1 (32 TS),0.6279,0.3433,0.6004,0.3741,0.6364,0.2961,0.7143,0.6030,0.8013✔,0.6683✔
S2 lanterna_v1 (34 TS),0.6785,0.4738,0.6624,0.5174,0.7324,0.6105,0.73,0.5552,0.8553✔,0.8198✔
S3 gdxartemismaster_v1 (35 TS),0.6282,0.5245,0.6521,0.4006,0.8055,0.7222,0.8096,0.7232,0.8870✔,0.8803✔
S4 gsonfire_v1 (36 TS),0.6231,0.4115,0.6804,0.5423,0.7374,0.5788,0.714,0.4692,0.8390✔,0.7346✔
S5 restcountries_v1 (40 TS),0.574,0.3274,0.6132,0.4248,0.6665,0.4867,0.6431,0.4956,0.7939✔,0.6814✔
S6 redlinesmalltalkmaster_v1 (43 TS),0.4527,0.0336,0.9165,0.9948,0.6815,0.0197,0.8665,0.9945,0.9860✔,0.9980✔
S7 javauuidgenerator_v1 (45 TS),0.6845,0.578,0.7697,0.7861,0.7695,0.6358,0.7724,0.6705,0.9059✔,0.9249✔
S8 gsonfirenew_v1 (47 TS),0.7042,0.5644,0.5975,0.2277,0.7099,0.6634,0.6752,0.5248,0.8861✔,0.8861✔
S9 lowgcmembuffers_v1 (51 TS),0.7629,0.6154,0.7555,0.5885,0.7910,0.6962,0.7745,0.6718,0.9028✔,0.9103✔
S10 DiskLruCache_v1 (61 TS),0.8252,0.7697,0.8068,0.75,0.8490,0.7763,0.8686,0.8092,0.9053✔,0.8355✔
S11 JActor_v1 (65 TS),0.7659,0.6071,0.778,0.625,0.6882,0.5714,0.8189,0.7679✔,0.8635✔,0.7143
S12 nvwebsocketclient_v1 (73 TS),0.5531,0.3069,0.862,0.7978,0.7160,0.4188,0.5994,0.3502,0.9615✔,0.9819✔
S13 jacksondatatypeguava_v1 (73 TS),0.6659,0.587,0.6706,0.4284,0.7415,0.5396,0.7496,0.6556,0.8767✔,0.8296✔
S14 jacksondatatypeguavanew_v1 (80 TS),0.6621,0.3781,0.7289,0.5594,0.7926,0.7,0.6253,0.4125,0.8866✔,0.8187✔
S15 javaapns_v1 (87 TS),0.7358,0.6335,0.6812,0.585,0.7898,0.716,0.8045,0.7354,0.8527✔,0.8471✔
S16 ewsjavaapi_v1 (90 TS),0.2392,0.124,0.6583,0.7284,0.5076,0.1622,0.539,0.1274,0.8523✔,0.8917✔
S17 scribejava_v1 (99 TS),0.6206,0.508,0.5841,0.4316,0.6199,0.4085,0.7521,0.5968,0.8582✔,0.8437✔
S18 jasminemavenplugin_v1 (102 TS),0.6115,0.4688,0.6431,0.5686,0.7065,0.5865,0.6235,0.4296,0.8101✔,0.7219✔
S19 jumblr_v1 (103 TS),0.6675,0.4251,0.5701,0.3234,0.5876,0.3832,0.6648,0.5689,0.8509✔,0.8204✔
S20 webbit_v1 (131 TS),0.6492,0.4503,0.727,0.6637,0.7999,0.7602,0.7539,0.7076,0.8464✔,0.8080✔
S21 chukwa_v1 (131 TS),0.6682,0.4851,0.5795,0.4815,0.6457,0.5149,0.5161,0.3603,0.8006✔,0.6766✔
S22 streamlib_v1 (141 TS),0.6507,0.4637,0.6483,0.4566,0.7767,0.6998,0.6514,0.4791,0.8318✔,0.7738✔
S23 metricscore_v1 (150 TS),0.6055,0.439,0.6566,0.4366,0.6915,0.445,0.65,0.5386,0.8029✔,0.7705✔
S24 hivemall_v1 (150 TS),0.5636,0.3375,0.5687,0.4584,0.6317,0.4966,0.6541,0.4526,0.8459✔,0.7842✔
S25 protoparser_v1 (171 TS),0.6356,0.4213,0.65,0.4722,0.7643,0.6991,0.789,0.6655,0.9511✔,0.9468✔
S26 springretry_v1 (185 TS),0.5571,0.416,0.5758,0.4359,0.8261,0.755,0.7872,0.6952,0.9182✔,0.8917✔
S27 ramljavaparsermaster_v1 (192 TS),0.7636,0.5952,0.6862,0.5402,0.8714,0.8615,0.8159,0.7681,0.9481✔,0.9432✔
S28 ramljavaparser_v1 (197 TS),0.7841,0.6708,0.7452,0.6275,0.8924✔,0.8533,0.8113,0.7833,0.8910,0.8936✔
S29 asteriskjava_v1 (217 TS),0.6327,0.4805,0.6373,0.491,0.6829,0.4764,0.692,0.5400,0.8654✔,0.8242✔
S30 asteriskjavanew_v1 (217 TS),0.565,0.3713,0.6953,0.5798,0.6604,0.4571,0.6084,0.4159,0.8750✔,0.8447✔
S31 redlinesmalltalk_v1 (240 TS),0.5675,0.3721,0.5561,0.2953,0.5428,0.3818,0.5117,0.3265,0.8332✔,0.7767✔
S32 lambdajmaster_v1 (265 TS),0.6704,0.4607,0.676,0.529,0.7744,0.6961,0.7489,0.6146,0.8837✔,0.8791✔
S33 commonspool_v1 (272 TS),0.6449,0.4455,0.6989,0.5245,0.6947,0.4945,0.6458,0.4376,0.8185✔,0.7599✔
S34 javapoet_v1 (332 TS),0.686,0.4594,0.8195,0.7554,0.8463,0.7718,0.827,0.7544,0.9208✔,0.9178✔
S35 jacksoncore_v1 (376 TS),0.6136,0.4048,0.7504,0.6415,0.7240,0.594,0.7438,0.5788,0.8923✔,0.8473✔
S36 OpenTripPlannerotp0.20.0_v1 (379 TS),0.7009,0.6011,0.7906,0.7249,0.8346,0.7354,0.851,0.7846,0.9511✔,0.9454✔
S37 hbase1.2.2_v1 (434 TS),0.6737,0.5564,0.7194,0.5362,0.6666,0.4604,0.663,0.4924,0.8697✔,0.8574✔
S38 streamex_v1 (450 TS),0.5711,0.4022,0.5714,0.3449,0.6798,0.4765,0.636,0.4661,0.8661✔,0.8100✔
S39 rome1.5.0_v1 (475 TS),0.792,0.7578,0.8007,0.6441,0.8381,0.7787,0.7561,0.6594,0.9303✔,0.9487✔
S40 joss_v1 (531 TS),0.5653,0.3126,0.7646,0.6354,0.7579,0.6284,0.7321,0.5912,0.9138✔,0.8999✔
S41 commonsdbcp_v1 (560 TS),0.7705,0.6647,0.7472,0.6332,0.7721,0.6844,0.7338,0.4479,0.9390✔,0.9573✔
S42 la4j_v1 (625 TS),0.7848,0.5827,0.7701,0.7083,0.8148,0.7529,0.811,0.7428,0.8244✔,0.7814✔
S43 jsoup_v1 (666 TS),0.7508,0.5888,0.8141,0.7345,0.8260✔,0.7422,0.8222,0.7562,0.7932,0.7821✔
S44 languagetool_v1 (719 TS),0.5264,0.2566,0.4776,0.2282,0.6753,0.4997,0.6047,0.4270,0.8623✔,0.7720✔
S45 joptsimple_v1 (727 ST),0.7549,0.6148,0.8679,0.8259,0.8796,0.8306,0.8861,0.8485,0.9113✔,0.8736✔
S46 la4jnew_v1 (799 TS),0.5664,0.3645,0.5985,0.4989,0.8702,0.8332,0.8204,0.7437,0.9461✔,0.9268✔
S47 blueflood_v1 (961 TS),0.7003,0.6203,0.6904,0.5113,0.7437,0.6294,0.7185,0.5728,0.9081✔,0.8862✔
S48 commonsio_v1 (1081 TS),0.7135,0.5733,0.6856,0.5109,0.7172,0.5842,0.725,0.5857,0.8904✔,0.8734✔
S49 vraptorarchive_v1 (1130 TS),0.7017,0.5714,0.7806,0.6809,0.7714,0.6888,0.7769,0.6908,0.8663✔,0.8243✔
S50 RoaringBitmap_v1 (1148 TS),0.6773,0.5464,0.6853,0.5571,0.7670,0.6408,0.7559,0.6469,0.9235✔,0.9155✔
S51 jsprit_v1 (1250 TS),0.6076,0.3775,0.7802,0.6998,0.8366,0.7882,0.8197,0.7423,0.9162✔,0.8981✔
S52 mapdbmapdb1.0.9_v1 (1776 TS),0.8232,0.7466,0.8506,0.7717,0.8066,0.7329,0.7626,0.7021,0.9516✔,0.9783✔
