Project Name,FAST-pw,FAST-pw,FAST-all,FAST-all,ART-D,ART-D,ART-F,ART-F,GeTLO,GeTLO,OGA,OGA
,Time,APFD,Time,APFD,Time,APFD,Time,APFD,Time,APFD,Time,APFD
S1 LastCalc0.1_v1 (32 TS),0.1259,0.6279,0.1262,0.6004,0.1714,0.6364,0.2297,0.7189,0.0917,0.8027,0.0021✓,0.8013
S2 lanterna_v1 (34 TS),0.0097,0.6785,0.0093,0.6624,0.0064,0.7324,0.0140,0.7322,0.2519,0.8604,0.0005✓,0.8553
S3 gdxartemismaster_v1 (35 TS),0.0438,0.6282,0.0432,0.6521,0.0486,0.8055,0.0924,0.8147,0.0266,0.8939,0.0007✓,0.8870
S4 gsonfire_v1 (36 TS),0.0129,0.6231,0.0124,0.6804,0.0087,0.7374,0.0262,0.7195,0.0089,0.8410,0.0006✓,0.8390
S5 restcountries_v1 (40 TS),0.0027,0.5740,0.0022,0.6132,0.0018,0.6665,0.0065,0.6488,0.0127,0.7959,0.0005✓,0.7939
S6 redlinesmalltalkmaster_v1 (43 TS),0.0365,0.4527,0.0359,0.9165,0.0248,0.6815,0.0262,0.8665,0.0268,0.9858,0.0008✓,0.9860
S7 javauuidgenerator_v1 (45 TS),0.0060,0.6845,0.0053,0.7697,0.0044,0.7695,0.0151,0.7746,0.0376,0.9069,0.0006✓,0.9059
S8 gsonfirenew_v1 (47 TS),0.0090,0.7042,0.0078,0.5975,0.0076,0.7099,0.0234,0.6752,0.0217,0.8863,0.0007✓,0.8861
S9 lowgcmembuffers_v1 (51 TS),0.0415,0.7629,0.0405,0.7555,0.0704,0.7910,0.1724,0.7745,0.1071,0.9029,0.0014✓,0.9028
S10 DiskLruCache_v1 (61 TS),0.0277,0.8252,0.0257,0.8068,0.0359,0.8490,0.1059,0.8686,0.0341,0.9069,0.0010✓,0.9053
S11 JActor_v1 (65 TS),0.0533,0.7659,0.0511,0.7780,0.0753,0.6882,0.2788,0.8189,0.1704,0.8668,0.0018✓,0.8635
S12 nvwebsocketclient_v1 (73 TS),0.0098,0.5531,0.0086,0.8620,0.0083,0.7160,0.0250,0.5994,0.2643,0.9620,0.0008✓,0.9615
S13 jacksondatatypeguava_v1 (73 TS),0.1218,0.6659,0.1199,0.6706,0.2608,0.7415,0.7250,0.7496,0.1294,0.8779,0.0019✓,0.8767
