Project,OGA_Time,AGA_Time,GA_Time,OGA_Time_Reduction %,OGA_APFD,AGA_APFD,GA_APFD,OGA_APFD Diff %
S01_LastCalc_32TS,0.0012 ✔,0.0219,0.0207,94.20%,0.8013,0.8013,0.8061 ✔,-0.60%
S02_lanterna_34TS,0.0006 ✔,0.0089,0.0016,62.50%,0.8553,0.8569,0.871 ✔,-1.80%
S03_gdx_artemis_master_35TS,0.0009 ✔,0.0064,0.0066,86.36%,0.887,0.8898 ✔,0.8897,-0.31%
S04_gson_fire_36TS,0.0006 ✔,0.0023,0.002,70.00%,0.839,0.838,0.8457 ✔,-0.79%
S05_restcountries_40TS,0.0005 ✔,0.0043,0.0007,28.57%,0.7939,0.7939,0.7972 ✔,-0.41%
S06_redline_smalltalk_master_43TS,0.0007 ✔,0.0071,0.0053,86.79%,0.986 ✔,0.9858,0.9856,0.02%
S07_java_uuid_generator_45TS,0.0006 ✔,0.0023,0.0015,60.00%,0.9059,0.9059,0.906 ✔,-0.01%
S08_gson_fire_new_47TS,0.0006 ✔,0.0017,0.0025,76.00%,0.8861 ✔,0.8848,0.8827,0.15%
S09_low_gc_membuffers_51TS,0.0017 ✔,0.0148,0.0086,80.23%,0.9028,0.9028,0.9036 ✔,-0.09%
S10_DiskLruCache_61TS,0.0011 ✔,0.0057,0.006,81.67%,0.9053,0.907,0.9117 ✔,-0.70%
S11_JActor_65TS,0.0019 ✔,0.013,0.009,78.89%,0.8635 ✔,0.8615,0.8593,0.23%
S12_nv_websocket_client_73TS,0.0009 ✔,0.0063,0.0032,71.88%,0.9615,0.9614,0.9616 ✔,-0.01%
S13_jackson_datatype_guava_73TS,0.0019 ✔,0.1669,0.0341,94.43%,0.8767 ✔,0.8766,0.8743,0.01%
S14_jackson_datatype_guava_new_80TS,0.0012 ✔,0.0192,0.0041,70.73%,0.8866 ✔,0.8864,0.886,0.02%
S15_java_apns_87TS,0.0012 ✔,0.0035,0.0066,81.82%,0.8527,0.8527,0.8531 ✔,-0.05%
S16_ews_java_api_90TS,0.0012 ✔,0.0146,0.0012,0.00%,0.8523 ✔,0.8517,0.847,0.07%
S17_scribe_java_99TS,0.0012 ✔,0.002,0.005,76.00%,0.8582 ✔,0.8582,0.8573,0.00%
S18_jasmine_maven_plugin_102TS,0.0012 ✔,0.0021,0.0046,73.91%,0.8101 ✔,0.8101,0.8088,0.00%
S19_jumblr_103TS,0.0012 ✔,0.0039,0.0021,42.86%,0.8509 ✔,0.8509,0.8257,0.00%
S20_webbit_131TS,0.0023 ✔,0.0082,0.0105,78.10%,0.8665 ✔,0.8642,0.8661,0.05%
S21_chukwa_131TS,0.0038 ✔,0.0219,0.0479,92.07%,0.8006,0.8009,0.8017 ✔,-0.14%
S22_stream_lib_141TS,0.0025 ✔,0.0091,0.0225,88.89%,0.8318,0.8328,0.8338 ✔,-0.24%
S23_metrics_core_150TS,0.0018 ✔,0.005,0.0147,87.76%,0.8029,0.8031,0.805 ✔,-0.26%
S24_hivemall_150TS,0.0033 ✔,0.0446,0.0488,93.24%,0.8459,0.8464,0.8476 ✔,-0.20%
S25_protoparser_171TS,0.0031 ✔,0.0113,0.0223,86.10%,0.9511,0.9518 ✔,0.9514,-0.07%
